area,task,split,method,metric,value,n,interpretation
SDPO-DNA,DNA regulatory design,,baseline,total_metric,1.3885,3,"Reference SDPO-DNA score under the same evaluation protocol."
SDPO-DNA,DNA regulatory design,,progressive_confidence,total_metric,0.6344,3,"Reward-blind confidence ordering is not sufficient in this retained phase-independent abstraction."
SDPO-DNA,DNA regulatory design,,entropy_only,total_metric,1.1411,3,"Uncertainty-only ordering improves over progressive here but remains below DPRM-random."
SDPO-DNA,DNA regulatory design,,dprm_random,total_metric,2.1287,3,"Best three-seed total metric; supports reward-conditioned bucket structure beyond entropy-only."
SDPO-DNA,DNA regulatory design,,dprm_random_shuffled,total_metric,1.8660,3,"Shuffling bucket utilities reduces performance, so values are not pure noise."
SDPO-DNA,DNA regulatory design,,dprm_random_gate_only,total_metric,2.0699,3,"Readiness/count structure also contributes; bucket values are not the only effect."
SDPO-DNA,DNA regulatory design,,dprm_random_count_only,total_metric,2.0699,3,"Same as gate-only in this control."
LLaDA-V,AI2D,,progressive_confidence,target_accuracy,0.6580,500,"Confidence-only text-token ordering baseline."
LLaDA-V,AI2D,,entropy,target_accuracy,0.6340,500,"Reward-blind uncertainty control."
LLaDA-V,AI2D,,eot_suppression,target_accuracy,0.6560,500,"Direct early-EOT suppression baseline."
LLaDA-V,AI2D,,sacm_progressive,target_accuracy,0.6780,500,"Suffix-anchor confidence modulation baseline."
LLaDA-V,AI2D,,dprm_confidence_warmup,target_accuracy,0.6900,500,"DPRM improves on short structured VQA answers."
LLaDA-V,RealWorldQA,,progressive_confidence,target_accuracy,0.4601,765,"Confidence-progressive is strongest among four-order methods."
LLaDA-V,RealWorldQA,,entropy,target_accuracy,0.4458,765,"Uncertainty-only does not solve the broader distribution."
LLaDA-V,RealWorldQA,,eot_suppression,target_accuracy,0.4980,765,"Direct EOT handling is strongest; this is a boundary condition for coarse buckets."
LLaDA-V,RealWorldQA,,sacm_progressive,target_accuracy,0.4353,765,"Suffix-anchor control is not enough here."
LLaDA-V,RealWorldQA,,dprm_confidence_warmup,target_accuracy,0.4183,765,"Negative transfer under coarse phase/confidence/position buckets."
Prism,GSM8K HTS,,confidence,rank1_acc,0.8280,250,"Confidence HTS baseline."
Prism,GSM8K HTS,,confidence,mean_nfe,610.5600,250,"Compute cost for confidence HTS baseline."
Prism,GSM8K HTS,,dprm_w20_r32_fix1,rank1_acc,0.8600,250,"DPRM improves rank1 on this representative diagnostic set."
Prism,GSM8K HTS,,dprm_w20_r32_fix1,mean_nfe,1061.0640,250,"DPRM uses more NFE; report cost-quality trade-off."
Prism,GSM8K HTS,,confidence_n32,rank1_acc,0.8440,250,"Reward-blind larger-search control."
Prism,GSM8K HTS,,confidence_n32,mean_nfe,745.2080,250,"Compute cost for larger confidence-only control."
DMPO,Countdown retained control,overall,progressive_confidence,pass@32,0.6834,5120,"Retained control checkpoint; progressive remains strongest here."
DMPO,Countdown retained control,overall,dprm_beta1,pass@32,0.6625,5120,"Much stronger than entropy-only but below progressive on this checkpoint."
DMPO,Countdown retained control,overall,entropy_only,pass@32,0.4051,5120,"Rejects pure entropy-only explanation."
DMPO,Countdown retained control,hard_5,progressive_confidence,pass@32,0.5049,5120,"Retained control checkpoint hard subset."
DMPO,Countdown retained control,hard_5,dprm_beta1,pass@32,0.4609,5120,"Nontrivial but below progressive on this retained checkpoint."
DMPO,Countdown retained control,hard_5,entropy_only,pass@32,0.0527,5120,"Entropy-only nearly fails on hard subset."
DMPO,Countdown retained control,ood_6,progressive_confidence,pass@32,0.2656,5120,"Retained control checkpoint OOD subset."
DMPO,Countdown retained control,ood_6,dprm_beta1,pass@32,0.2236,5120,"Nontrivial but below progressive on this retained checkpoint."
DMPO,Countdown retained control,ood_6,entropy_only,pass@32,0.0146,5120,"Entropy-only nearly fails on OOD subset."
DMPO,Countdown retained control,overall,dprm_beta1_shuffled,pass@16,0.5963,5120,"Close to normal DPRM; not a clean bucket-value isolation result on this checkpoint."
DMPO,Countdown retained control,overall,dprm_beta1_gate_only,pass@16,0.5943,5120,"Close to normal DPRM."
DMPO,Countdown retained control,overall,dprm_beta1_count_only,pass@16,0.5943,5120,"Close to normal DPRM."
